Provincias;Tasas;Periodo;Total
06 Badajoz;Tasa de paro de la población;2008T4;19,22
06 Badajoz;Tasa de paro de la población;2007T4;15,29
06 Badajoz;Tasa de paro de la población;2006T4;14,68
06 Badajoz;Tasa de paro de la población;2005T4;16,74
07 Balears, Illes;Tasa de paro de la población;2013T4;22,91
07 Balears, Illes;Tasa de paro de la población;2012T4;24,30
07 Balears, Illes;Tasa de paro de la población;2011T4;25,20
07 Balears, Illes;Tasa de paro de la población;2010T4;22,23
07 Balears, Illes;Tasa de paro de la población;2009T4;19,54
07 Balears, Illes;Tasa de paro de la población;2008T4;12,32
07 Balears, Illes;Tasa de paro de la población;2007T4;9,01
07 Balears, Illes;Tasa de paro de la población;2006T4;6,17
07 Balears, Illes;Tasa de paro de la población;2005T4;7,48
08 Barcelona;Tasa de paro de la población;2013T4;21,74
08 Barcelona;Tasa de paro de la población;2012T4;24,13
08 Barcelona;Tasa de paro de la población;2011T4;20,18
08 Barcelona;Tasa de paro de la población;2010T4;17,82
08 Barcelona;Tasa de paro de la población;2009T4;16,93
08 Barcelona;Tasa de paro de la población;2008T4;11,45
08 Barcelona;Tasa de paro de la población;2007T4;6,46
08 Barcelona;Tasa de paro de la población;2006T4;6,80
08 Barcelona;Tasa de paro de la población;2005T4;6,56
48 Bizkaia;Tasa de paro de la población;2013T4;17,03
48 Bizkaia;Tasa de paro de la población;2012T4;17,15
48 Bizkaia;Tasa de paro de la población;2011T4;14,45
48 Bizkaia;Tasa de paro de la población;2010T4;12,81
48 Bizkaia;Tasa de paro de la población;2009T4;12,87
48 Bizkaia;Tasa de paro de la población;2008T4;9,57
48 Bizkaia;Tasa de paro de la población;2007T4;6,62
48 Bizkaia;Tasa de paro de la población;2006T4;7,46
48 Bizkaia;Tasa de paro de la población;2005T4;7,05
09 Burgos;Tasa de paro de la población;2013T4;18,73
09 Burgos;Tasa de paro de la población;2012T4;17,91
09 Burgos;Tasa de paro de la población;2011T4;14,85
09 Burgos;Tasa de paro de la población;2010T4;15,85
09 Burgos;Tasa de paro de la población;2009T4;14,46
09 Burgos;Tasa de paro de la población;2008T4;10,46
09 Burgos;Tasa de paro de la población;2007T4;7,18
09 Burgos;Tasa de paro de la población;2006T4;5,35
09 Burgos;Tasa de paro de la población;2005T4;6,35
10 Cáceres;Tasa de paro de la población;2013T4;31,51
10 Cáceres;Tasa de paro de la población;2012T4;31,55
10 Cáceres;Tasa de paro de la población;2011T4;25,26
10 Cáceres;Tasa de paro de la población;2010T4;19,80
10 Cáceres;Tasa de paro de la población;2009T4;18,13
10 Cáceres;Tasa de paro de la población;2008T4;15,64
10 Cáceres;Tasa de paro de la población;2007T4;13,54
10 Cáceres;Tasa de paro de la población;2006T4;10,09
10 Cáceres;Tasa de paro de la población;2005T4;13,04
11 Cádiz;Tasa de paro de la población;2013T4;40,77
11 Cádiz;Tasa de paro de la población;2012T4;40,63
11 Cádiz;Tasa de paro de la población;2011T4;35,33
11 Cádiz;Tasa de paro de la población;2010T4;31,47
11 Cádiz;Tasa de paro de la población;2009T4;28,69
11 Cádiz;Tasa de paro de la población;2008T4;21,96
11 Cádiz;Tasa de paro de la población;2007T4;17,61
11 Cádiz;Tasa de paro de la población;2006T4;13,78
11 Cádiz;Tasa de paro de la población;2005T4;17,30
39 Cantabria;Tasa de paro de la población;2013T4;20,06
39 Cantabria;Tasa de paro de la población;2012T4;19,22
39 Cantabria;Tasa de paro de la población;2011T4;15,93
39 Cantabria;Tasa de paro de la población;2010T4;14,93
39 Cantabria;Tasa de paro de la población;2009T4;12,63
39 Cantabria;Tasa de paro de la población;2008T4;8,90
39 Cantabria;Tasa de paro de la población;2007T4;4,63
39 Cantabria;Tasa de paro de la población;2006T4;6,00
39 Cantabria;Tasa de paro de la población;2005T4;8,10
12 Castellón/Castelló;Tasa de paro de la población;2013T4;28,93
12 Castellón/Castelló;Tasa de paro de la población;2012T4;27,72
12 Castellón/Castelló;Tasa de paro de la población;2011T4;26,65
12 Castellón/Castelló;Tasa de paro de la población;2010T4;23,96
12 Castellón/Castelló;Tasa de paro de la población;2009T4;21,39
12 Castellón/Castelló;Tasa de paro de la población;2008T4;14,73
12 Castellón/Castelló;Tasa de paro de la población;2007T4;7,37
12 Castellón/Castelló;Tasa de paro de la población;2006T4;6,39
12 Castellón/Castelló;Tasa de paro de la población;2005T4;6,21
13 Ciudad Real;Tasa de paro de la población;2013T4;29,80
13 Ciudad Real;Tasa de paro de la población;2012T4;30,56
13 Ciudad Real;Tasa de paro de la población;2011T4;27,02
13 Ciudad Real;Tasa de paro de la población;2010T4;21,89
13 Ciudad Real;Tasa de paro de la población;2009T4;21,12
13 Ciudad Real;Tasa de paro de la población;2008T4;15,92
13 Ciudad Real;Tasa de paro de la población;2007T4;8,90
13 Ciudad Real;Tasa de paro de la población;2006T4;10,03
13 Ciudad Real;Tasa de paro de la población;2005T4;9,98
14 Córdoba;Tasa de paro de la población;2013T4;37,04
14 Córdoba;Tasa de paro de la población;2012T4;34,66
14 Córdoba;Tasa de paro de la población;2011T4;31,73
14 Córdoba;Tasa de paro de la población;2010T4;28,53
14 Córdoba;Tasa de paro de la población;2009T4;25,92
14 Córdoba;Tasa de paro de la población;2008T4;20,16
14 Córdoba;Tasa de paro de la población;2007T4;15,03
14 Córdoba;Tasa de paro de la población;2006T4;15,11
14 Córdoba;Tasa de paro de la población;2005T4;15,90
15 Coruña, A;Tasa de paro de la población;2013T4;20,06
15 Coruña, A;Tasa de paro de la población;2012T4;20,08
15 Coruña, A;Tasa de paro de la población;2011T4;16,06
15 Coruña, A;Tasa de paro de la población;2010T4;14,50
15 Coruña, A;Tasa de paro de la población;2009T4;11,58
15 Coruña, A;Tasa de paro de la población;2008T4;9,45
15 Coruña, A;Tasa de paro de la población;2007T4;8,44
15 Coruña, A;Tasa de paro de la población;2006T4;8,22
15 Coruña, A;Tasa de paro de la población;2005T4;9,19
16 Cuenca;Tasa de paro de la población;2013T4;26,46
16 Cuenca;Tasa de paro de la población;2012T4;24,70
16 Cuenca;Tasa de paro de la población;2011T4;19,42
16 Cuenca;Tasa de paro de la población;2010T4;19,34
16 Cuenca;Tasa de paro de la población;2009T4;17,20
16 Cuenca;Tasa de paro de la población;2008T4;9,82
16 Cuenca;Tasa de paro de la población;2007T4;3,94
16 Cuenca;Tasa de paro de la población;2006T4;6,55
16 Cuenca;Tasa de paro de la población;2005T4;7,55
20 Gipuzkoa;Tasa de paro de la población;2013T4;12,75
20 Gipuzkoa;Tasa de paro de la población;2012T4;12,59
20 Gipuzkoa;Tasa de paro de la población;2011T4;10,44
20 Gipuzkoa;Tasa de paro de la población;2010T4;7,80
20 Gipuzkoa;Tasa de paro de la población;2009T4;8,95
20 Gipuzkoa;Tasa de paro de la población;2008T4;6,68
20 Gipuzkoa;Tasa de paro de la población;2007T4;5,04
20 Gipuzkoa;Tasa de paro de la población;2006T4;5,96
20 Gipuzkoa;Tasa de paro de la población;2005T4;5,33
17 Girona;Tasa de paro de la población;2013T4;24,08
17 Girona;Tasa de paro de la población;2012T4;24,22
17 Girona;Tasa de paro de la población;2011T4;23,39
17 Girona;Tasa de paro de la población;2010T4;19,17
17 Girona;Tasa de paro de la población;2009T4;19,24
17 Girona;Tasa de paro de la población;2008T4;14,14
17 Girona;Tasa de paro de la población;2007T4;9,27
17 Girona;Tasa de paro de la población;2006T4;7,31
17 Girona;Tasa de paro de la población;2005T4;6,85
18 Granada;Tasa de paro de la población;2013T4;35,99
18 Granada;Tasa de paro de la población;2012T4;37,32
18 Granada;Tasa de paro de la población;2011T4;28,93
18 Granada;Tasa de paro de la población;2010T4;29,39
18 Granada;Tasa de paro de la población;2009T4;27,93
18 Granada;Tasa de paro de la población;2008T4;23,14
18 Granada;Tasa de paro de la población;2007T4;14,04
18 Granada;Tasa de paro de la población;2006T4;10,50
18 Granada;Tasa de paro de la población;2005T4;12,92
19 Guadalajara;Tasa de paro de la población;2013T4;21,96
19 Guadalajara;Tasa de paro de la población;2012T4;25,75
19 Guadalajara;Tasa de paro de la población;2011T4;21,10
19 Guadalajara;Tasa de paro de la población;2010T4;18,93
19 Guadalajara;Tasa de paro de la población;2009T4;13,36
19 Guadalajara;Tasa de paro de la población;2008T4;11,20
19 Guadalajara;Tasa de paro de la población;2007T4;5,89
19 Guadalajara;Tasa de paro de la población;2006T4;6,96
19 Guadalajara;Tasa de paro de la población;2005T4;7,04
21 Huelva;Tasa de paro de la población;2013T4;31,30
21 Huelva;Tasa de paro de la población;2012T4;36,04
21 Huelva;Tasa de paro de la población;2011T4;34,23
21 Huelva;Tasa de paro de la población;2010T4;30,60
21 Huelva;Tasa de paro de la población;2009T4;23,91
21 Huelva;Tasa de paro de la población;2008T4;20,85
21 Huelva;Tasa de paro de la población;2007T4;16,71
21 Huelva;Tasa de paro de la población;2006T4;13,52
21 Huelva;Tasa de paro de la población;2005T4;16,92
22 Huesca;Tasa de paro de la población;2013T4;19,77
22 Huesca;Tasa de paro de la población;2012T4;14,30
22 Huesca;Tasa de paro de la población;2011T4;13,84
22 Huesca;Tasa de paro de la población;2010T4;12,64
22 Huesca;Tasa de paro de la población;2009T4;11,25
22 Huesca;Tasa de paro de la población;2008T4;6,42
22 Huesca;Tasa de paro de la población;2007T4;4,66
22 Huesca;Tasa de paro de la población;2006T4;5,17
22 Huesca;Tasa de paro de la población;2005T4;6,57
23 Jaén;Tasa de paro de la población;2013T4;36,53
23 Jaén;Tasa de paro de la población;2012T4;36,77
23 Jaén;Tasa de paro de la población;2011T4;28,24
23 Jaén;Tasa de paro de la población;2010T4;25,86
23 Jaén;Tasa de paro de la población;2009T4;24,78
23 Jaén;Tasa de paro de la población;2008T4;19,75
23 Jaén;Tasa de paro de la población;2007T4;14,77
23 Jaén;Tasa de paro de la población;2006T4;12,86
23 Jaén;Tasa de paro de la población;2005T4;16,88
24 León;Tasa de paro de la población;2013T4;24,15
24 León;Tasa de paro de la población;2012T4;23,76
24 León;Tasa de paro de la población;2011T4;18,04
24 León;Tasa de paro de la población;2010T4;16,45
24 León;Tasa de paro de la población;2009T4;15,16
24 León;Tasa de paro de la población;2008T4;10,52
24 León;Tasa de paro de la población;2007T4;7,78
24 León;Tasa de paro de la población;2006T4;7,84
24 León;Tasa de paro de la población;2005T4;10,98
25 Lleida;Tasa de paro de la población;2013T4;16,23
25 Lleida;Tasa de paro de la población;2012T4;17,81
25 Lleida;Tasa de paro de la población;2011T4;17,10
25 Lleida;Tasa de paro de la población;2010T4;14,35
25 Lleida;Tasa de paro de la población;2009T4;13,07
25 Lleida;Tasa de paro de la población;2008T4;8,73
25 Lleida;Tasa de paro de la población;2007T4;3,10
25 Lleida;Tasa de paro de la población;2006T4;4,33
25 Lleida;Tasa de paro de la población;2005T4;6,12
27 Lugo;Tasa de paro de la población;2013T4;19,22
27 Lugo;Tasa de paro de la población;2012T4;17,00
27 Lugo;Tasa de paro de la población;2011T4;12,03
27 Lugo;Tasa de paro de la población;2010T4;10,37
27 Lugo;Tasa de paro de la población;2009T4;10,29
27 Lugo;Tasa de paro de la población;2008T4;6,60
27 Lugo;Tasa de paro de la población;2007T4;5,97
27 Lugo;Tasa de paro de la población;2006T4;4,85
27 Lugo;Tasa de paro de la población;2005T4;7,32
28 Madrid;Tasa de paro de la población;2013T4;21,03
28 Madrid;Tasa de paro de la población;2012T4;19,88
28 Madrid;Tasa de paro de la población;2011T4;18,51
28 Madrid;Tasa de paro de la población;2010T4;15,75
28 Madrid;Tasa de paro de la población;2009T4;14,68
28 Madrid;Tasa de paro de la población;2008T4;10,15
28 Madrid;Tasa de paro de la población;2007T4;6,38
28 Madrid;Tasa de paro de la población;2006T4;6,49
28 Madrid;Tasa de paro de la población;2005T4;5,92
29 Málaga;Tasa de paro de la población;2013T4;36,20
29 Málaga;Tasa de paro de la población;2012T4;35,29
29 Málaga;Tasa de paro de la población;2011T4;31,63
29 Málaga;Tasa de paro de la población;2010T4;30,65
29 Málaga;Tasa de paro de la población;2009T4;27,35
29 Málaga;Tasa de paro de la población;2008T4;23,60
29 Málaga;Tasa de paro de la población;2007T4;12,28
29 Málaga;Tasa de paro de la población;2006T4;10,34
29 Málaga;Tasa de paro de la población;2005T4;11,15
30 Murcia;Tasa de paro de la población;2013T4;28,98
30 Murcia;Tasa de paro de la población;2012T4;29,59
30 Murcia;Tasa de paro de la población;2011T4;26,77
30 Murcia;Tasa de paro de la población;2010T4;24,98
30 Murcia;Tasa de paro de la población;2009T4;22,47
30 Murcia;Tasa de paro de la población;2008T4;15,53
30 Murcia;Tasa de paro de la población;2007T4;8,27
30 Murcia;Tasa de paro de la población;2006T4;7,91
30 Murcia;Tasa de paro de la población;2005T4;7,42
31 Navarra;Tasa de paro de la población;2013T4;16,83
31 Navarra;Tasa de paro de la población;2012T4;17,15
31 Navarra;Tasa de paro de la población;2011T4;13,82
31 Navarra;Tasa de paro de la población;2010T4;11,64
31 Navarra;Tasa de paro de la población;2009T4;10,53
31 Navarra;Tasa de paro de la población;2008T4;8,12
31 Navarra;Tasa de paro de la población;2007T4;4,27
31 Navarra;Tasa de paro de la población;2006T4;4,58
31 Navarra;Tasa de paro de la población;2005T4;5,95
32 Ourense;Tasa de paro de la población;2013T4;23,31
32 Ourense;Tasa de paro de la población;2012T4;22,70
32 Ourense;Tasa de paro de la población;2011T4;19,08
32 Ourense;Tasa de paro de la población;2010T4;17,00
32 Ourense;Tasa de paro de la población;2009T4;12,56
32 Ourense;Tasa de paro de la población;2008T4;6,62
32 Ourense;Tasa de paro de la población;2007T4;5,20
32 Ourense;Tasa de paro de la población;2006T4;8,32
32 Ourense;Tasa de paro de la población;2005T4;9,30
34 Palencia;Tasa de paro de la población;2013T4;21,10
34 Palencia;Tasa de paro de la población;2012T4;18,66
34 Palencia;Tasa de paro de la población;2011T4;17,75
34 Palencia;Tasa de paro de la población;2010T4;16,52
34 Palencia;Tasa de paro de la población;2009T4;12,37
34 Palencia;Tasa de paro de la población;2008T4;11,13
34 Palencia;Tasa de paro de la población;2007T4;5,48
34 Palencia;Tasa de paro de la población;2006T4;5,86
34 Palencia;Tasa de paro de la población;2005T4;5,30
35 Palmas, Las;Tasa de paro de la población;2013T4;33,32
35 Palmas, Las;Tasa de paro de la población;2012T4;33,89
35 Palmas, Las;Tasa de paro de la población;2011T4;32,36
35 Palmas, Las;Tasa de paro de la población;2010T4;31,68
35 Palmas, Las;Tasa de paro de la población;2009T4;29,30
35 Palmas, Las;Tasa de paro de la población;2008T4;22,51
35 Palmas, Las;Tasa de paro de la población;2007T4;12,26
35 Palmas, Las;Tasa de paro de la población;2006T4;12,05
35 Palmas, Las;Tasa de paro de la población;2005T4;11,83
36 Pontevedra;Tasa de paro de la población;2013T4;24,77
36 Pontevedra;Tasa de paro de la población;2012T4;23,84
36 Pontevedra;Tasa de paro de la población;2011T4;22,98
36 Pontevedra;Tasa de paro de la población;2010T4;18,66
36 Pontevedra;Tasa de paro de la población;2009T4;15,41
36 Pontevedra;Tasa de paro de la población;2008T4;12,04
36 Pontevedra;Tasa de paro de la población;2007T4;7,54
36 Pontevedra;Tasa de paro de la población;2006T4;8,82
36 Pontevedra;Tasa de paro de la población;2005T4;9,62
26 Rioja, La;Tasa de paro de la población;2013T4;20,05
26 Rioja, La;Tasa de paro de la población;2012T4;18,73
26 Rioja, La;Tasa de paro de la población;2011T4;18,70
26 Rioja, La;Tasa de paro de la población;2010T4;15,68
26 Rioja, La;Tasa de paro de la población;2009T4;13,67
26 Rioja, La;Tasa de paro de la población;2008T4;9,75
26 Rioja, La;Tasa de paro de la población;2007T4;5,63
26 Rioja, La;Tasa de paro de la población;2006T4;7,04
26 Rioja, La;Tasa de paro de la población;2005T4;6,53
37 Salamanca;Tasa de paro de la población;2013T4;23,08
37 Salamanca;Tasa de paro de la población;2012T4;21,70
37 Salamanca;Tasa de paro de la población;2011T4;17,05
37 Salamanca;Tasa de paro de la población;2010T4;15,65
37 Salamanca;Tasa de paro de la población;2009T4;13,83
37 Salamanca;Tasa de paro de la población;2008T4;16,49
37 Salamanca;Tasa de paro de la población;2007T4;7,68
37 Salamanca;Tasa de paro de la población;2006T4;10,25
37 Salamanca;Tasa de paro de la población;2005T4;11,68
38 Santa Cruz de Tenerife;Tasa de paro de la población;2013T4;33,01
38 Santa Cruz de Tenerife;Tasa de paro de la población;2012T4;31,93
38 Santa Cruz de Tenerife;Tasa de paro de la población;2011T4;29,46
38 Santa Cruz de Tenerife;Tasa de paro de la población;2010T4;26,14
38 Santa Cruz de Tenerife;Tasa de paro de la población;2009T4;24,28
38 Santa Cruz de Tenerife;Tasa de paro de la población;2008T4;19,65
38 Santa Cruz de Tenerife;Tasa de paro de la población;2007T4;9,59
38 Santa Cruz de Tenerife;Tasa de paro de la población;2006T4;10,84
38 Santa Cruz de Tenerife;Tasa de paro de la población;2005T4;9,39
40 Segovia;Tasa de paro de la población;2013T4;17,52
40 Segovia;Tasa de paro de la población;2012T4;20,36
40 Segovia;Tasa de paro de la población;2011T4;15,72
40 Segovia;Tasa de paro de la población;2010T4;10,94
40 Segovia;Tasa de paro de la población;2009T4;9,88
40 Segovia;Tasa de paro de la población;2008T4;10,11
40 Segovia;Tasa de paro de la población;2007T4;6,11
40 Segovia;Tasa de paro de la población;2006T4;6,15
40 Segovia;Tasa de paro de la población;2005T4;5,10
41 Sevilla;Tasa de paro de la población;2013T4;34,90
41 Sevilla;Tasa de paro de la población;2012T4;32,56
41 Sevilla;Tasa de paro de la población;2011T4;28,50
41 Sevilla;Tasa de paro de la población;2010T4;24,60
41 Sevilla;Tasa de paro de la población;2009T4;25,29
41 Sevilla;Tasa de paro de la población;2008T4;19,72
41 Sevilla;Tasa de paro de la población;2007T4;13,22
41 Sevilla;Tasa de paro de la población;2006T4;12,91
41 Sevilla;Tasa de paro de la población;2005T4;13,22
42 Soria;Tasa de paro de la población;2013T4;16,45
42 Soria;Tasa de paro de la población;2012T4;15,65
42 Soria;Tasa de paro de la población;2011T4;12,90
42 Soria;Tasa de paro de la población;2010T4;13,32
42 Soria;Tasa de paro de la población;2009T4;12,10
42 Soria;Tasa de paro de la población;2008T4;5,40
42 Soria;Tasa de paro de la población;2007T4;3,96
42 Soria;Tasa de paro de la población;2006T4;5,46
42 Soria;Tasa de paro de la población;2005T4;4,09
43 Tarragona;Tasa de paro de la población;2013T4;27,03
43 Tarragona;Tasa de paro de la población;2012T4;25,63
43 Tarragona;Tasa de paro de la población;2011T4;21,81
43 Tarragona;Tasa de paro de la población;2010T4;19,66
43 Tarragona;Tasa de paro de la población;2009T4;17,62
43 Tarragona;Tasa de paro de la población;2008T4;13,73
43 Tarragona;Tasa de paro de la población;2007T4;7,13
43 Tarragona;Tasa de paro de la población;2006T4;6,43
43 Tarragona;Tasa de paro de la población;2005T4;7,32
44 Teruel;Tasa de paro de la población;2013T4;19,83
44 Teruel;Tasa de paro de la población;2012T4;15,46
44 Teruel;Tasa de paro de la población;2011T4;14,81
44 Teruel;Tasa de paro de la población;2010T4;13,51
44 Teruel;Tasa de paro de la población;2009T4;8,57
44 Teruel;Tasa de paro de la población;2008T4;7,67
44 Teruel;Tasa de paro de la población;2007T4;4,37
44 Teruel;Tasa de paro de la población;2006T4;2,93
44 Teruel;Tasa de paro de la población;2005T4;5,38
45 Toledo;Tasa de paro de la población;2013T4;32,03
45 Toledo;Tasa de paro de la población;2012T4;30,60
45 Toledo;Tasa de paro de la población;2011T4;24,74
45 Toledo;Tasa de paro de la población;2010T4;22,34
45 Toledo;Tasa de paro de la población;2009T4;19,13
45 Toledo;Tasa de paro de la población;2008T4;15,57
45 Toledo;Tasa de paro de la población;2007T4;7,68
45 Toledo;Tasa de paro de la población;2006T4;7,35
45 Toledo;Tasa de paro de la población;2005T4;9,34
46 Valencia/València;Tasa de paro de la población;2013T4;26,06
46 Valencia/València;Tasa de paro de la población;2012T4;27,86
46 Valencia/València;Tasa de paro de la población;2011T4;24,46
46 Valencia/València;Tasa de paro de la población;2010T4;21,31
46 Valencia/València;Tasa de paro de la población;2009T4;21,89
46 Valencia/València;Tasa de paro de la población;2008T4;14,03
46 Valencia/València;Tasa de paro de la población;2007T4;8,00
46 Valencia/València;Tasa de paro de la población;2006T4;7,63
46 Valencia/València;Tasa de paro de la población;2005T4;7,03
47 Valladolid;Tasa de paro de la población;2013T4;22,38
47 Valladolid;Tasa de paro de la población;2012T4;19,79
47 Valladolid;Tasa de paro de la población;2011T4;17,52
47 Valladolid;Tasa de paro de la población;2010T4;14,57
47 Valladolid;Tasa de paro de la población;2009T4;13,46
47 Valladolid;Tasa de paro de la población;2008T4;9,65
47 Valladolid;Tasa de paro de la población;2007T4;7,15
47 Valladolid;Tasa de paro de la población;2006T4;7,90
47 Valladolid;Tasa de paro de la población;2005T4;8,07
49 Zamora;Tasa de paro de la población;2013T4;25,64
49 Zamora;Tasa de paro de la población;2012T4;25,25
49 Zamora;Tasa de paro de la población;2011T4;17,56
49 Zamora;Tasa de paro de la población;2010T4;17,24
49 Zamora;Tasa de paro de la población;2009T4;14,58
49 Zamora;Tasa de paro de la población;2008T4;11,00
49 Zamora;Tasa de paro de la población;2007T4;8,06
49 Zamora;Tasa de paro de la población;2006T4;8,89
49 Zamora;Tasa de paro de la población;2005T4;10,62
50 Zaragoza;Tasa de paro de la población;2013T4;20,83
50 Zaragoza;Tasa de paro de la población;2012T4;19,86
50 Zaragoza;Tasa de paro de la población;2011T4;17,77
50 Zaragoza;Tasa de paro de la población;2010T4;17,18
50 Zaragoza;Tasa de paro de la población;2009T4;14,43
50 Zaragoza;Tasa de paro de la población;2008T4;10,54
50 Zaragoza;Tasa de paro de la población;2007T4;5,29
50 Zaragoza;Tasa de paro de la población;2006T4;5,26
50 Zaragoza;Tasa de paro de la población;2005T4;5,49
51 Ceuta;Tasa de paro de la población;2013T4;36,82
51 Ceuta;Tasa de paro de la población;2012T4;37,84
51 Ceuta;Tasa de paro de la población;2011T4;29,16
51 Ceuta;Tasa de paro de la población;2010T4;24,82
51 Ceuta;Tasa de paro de la población;2009T4;24,57
51 Ceuta;Tasa de paro de la población;2008T4;16,32
51 Ceuta;Tasa de paro de la población;2007T4;19,15
51 Ceuta;Tasa de paro de la población;2006T4;14,16
51 Ceuta;Tasa de paro de la población;2005T4;17,58
52 Melilla;Tasa de paro de la población;2013T4;35,36
52 Melilla;Tasa de paro de la población;2012T4;28,31
52 Melilla;Tasa de paro de la población;2011T4;28,13
52 Melilla;Tasa de paro de la población;2010T4;26,06
52 Melilla;Tasa de paro de la población;2009T4;21,68
52 Melilla;Tasa de paro de la población;2008T4;16,87
52 Melilla;Tasa de paro de la población;2007T4;17,52
52 Melilla;Tasa de paro de la población;2006T4;9,73
52 Melilla;Tasa de paro de la población;2005T4;11,83
