Nacionalidad;Provincias;Sexo;Ano;Total
TOTAL EXTRANJEROS;12 Castell�n/Castell�;Ambos sexos;2009;111.221
TOTAL EXTRANJEROS;12 Castell�n/Castell�;Ambos sexos;2008;106.125
TOTAL EXTRANJEROS;12 Castell�n/Castell�;Ambos sexos;2007;88.221
TOTAL EXTRANJEROS;12 Castell�n/Castell�;Ambos sexos;2006;77.841
TOTAL EXTRANJEROS;12 Castell�n/Castell�;Ambos sexos;2005;65.638
TOTAL EXTRANJEROS;12 Castell�n/Castell�;Ambos sexos;2004;52.247
TOTAL EXTRANJEROS;12 Castell�n/Castell�;Ambos sexos;2003;43.789
TOTAL EXTRANJEROS;12 Castell�n/Castell�;Ambos sexos;2002;30.818
TOTAL EXTRANJEROS;12 Castell�n/Castell�;Ambos sexos;2001;17.978
TOTAL EXTRANJEROS;12 Castell�n/Castell�;Ambos sexos;2000;10.326
TOTAL EXTRANJEROS;12 Castell�n/Castell�;Ambos sexos;1999;7.966
TOTAL EXTRANJEROS;12 Castell�n/Castell�;Ambos sexos;1996;6.842
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2023;31.604
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2021;31.195
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2020;31.023
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2019;28.847
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2018;28.874
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2017;28.727
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2016;31.078
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2015;34.437
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2014;38.323
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2013;43.181
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2012;46.194
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2011;45.575
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2010;46.001
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2009;44.858
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2008;41.396
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2007;30.948
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2006;27.888
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2005;22.532
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2004;16.945
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2003;12.742
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2002;8.128
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2001;4.054
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;2000;1.715
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;1999;1.279
TOTAL EXTRANJEROS;13 Ciudad Real;Ambos sexos;1996;1.168
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2023;21.573
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2021;21.845
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2020;22.512
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2019;21.103
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2018;20.601
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2017;19.943
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2016;20.388
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2015;21.301
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2014;23.476
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2013;25.497
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2012;25.817
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2011;25.894
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2010;25.259
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2009;24.801
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2008;21.937
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2007;17.087
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2006;15.397
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2005;13.856
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2004;10.303
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2003;8.445
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2002;5.290
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2001;3.313
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;2000;2.431
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;1999;1.977
TOTAL EXTRANJEROS;14 C�rdoba;Ambos sexos;1996;1.665
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2023;46.548
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2021;43.946
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2020;43.052
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2019;38.107
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2018;34.483
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2017;31.657
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2016;31.690
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2015;32.480
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2014;35.259
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2013;39.373
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2012;39.861
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2011;39.302
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2010;38.989
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2009;37.997
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2008;33.711
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2007;28.137
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2006;25.468
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2005;23.855
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2004;19.945
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2003;18.212
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2002;13.885
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2001;10.360
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;2000;7.367
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;1999;6.042
TOTAL EXTRANJEROS;15 Coru�a, A;Ambos sexos;1996;5.525
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2023;22.723
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2021;22.327
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2020;22.131
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2019;20.571
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2018;19.706
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2017;19.441
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2016;20.041
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2015;20.832
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2014;23.270
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2013;26.824
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2012;29.924
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2011;29.233
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2010;27.969
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2009;27.107
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2008;24.348
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2007;18.774
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2006;15.324
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2005;14.259
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2004;10.325
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2003;8.106
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2002;5.192
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2001;3.016
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;2000;1.289
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;1999;834
TOTAL EXTRANJEROS;16 Cuenca;Ambos sexos;1996;748
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2023;61.341
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2021;60.978
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2020;60.285
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2019;55.295
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2018;51.234
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2017;48.652
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2016;47.592
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2015;46.548
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2014;46.464
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2013;46.684
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2012;46.132
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2011;44.179
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2010;42.449
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2009;40.859
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2008;35.935
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2007;29.040
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2006;25.290
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2005;21.536
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2004;18.232
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2003;14.878
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2002;11.716
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2001;8.856
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;2000;7.903
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;1999;6.359
TOTAL EXTRANJEROS;20 Gipuzkoa;Ambos sexos;1996;5.301
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2023;162.361
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2021;160.030
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2020;160.435
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2019;152.308
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2018;144.720
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2017;140.890
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2016;141.902
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2015;143.757
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2014;150.309
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2013;161.025
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2012;163.068
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2011;161.666
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2010;162.247
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2009;160.279
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2008;149.236
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2007;129.183
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2006;116.284
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2005;100.367
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2004;79.133
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2003;69.550
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2002;53.715
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2001;40.347
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;2000;34.957
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;1999;29.008
TOTAL EXTRANJEROS;17 Girona;Ambos sexos;1996;22.053
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2023;69.157
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2021;67.374
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2020;65.155
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2019;60.969
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2018;57.466
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2017;56.185
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2016;57.703
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2015;59.279
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2014;62.039
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2013;64.241
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2012;68.663
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2011;67.283
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2010;64.334
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2009;61.732
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2008;58.775
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2007;48.874
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2006;43.254
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2005;36.318
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2004;26.876
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2003;23.113
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2002;15.857
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2001;11.115
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;2000;8.243
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;1999;7.196
TOTAL EXTRANJEROS;18 Granada;Ambos sexos;1996;6.476
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2023;37.228
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2021;36.246
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2020;35.509
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2019;32.866
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2018;31.007
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2017;30.408
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2016;30.921
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2015;32.043
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2014;35.155
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2013;39.368
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2012;41.125
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2011;40.421
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2010;39.204
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2009;37.852
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2008;34.310
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2007;25.647
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2006;20.459
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2005;17.316
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2004;13.504
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2003;10.627
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2002;7.445
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2001;4.452
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;2000;2.825
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;1999;2.002
TOTAL EXTRANJEROS;19 Guadalajara;Ambos sexos;1996;1.839
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2023;51.173
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2021;48.304
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2020;47.380
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2019;44.838
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2018;42.286
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2017;40.393
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2016;41.302
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2015;42.097
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2014;43.190
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2013;46.128
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2012;47.251
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2011;45.863
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2010;42.753
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2009;39.853
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2008;37.110
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2007;28.264
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2006;24.368
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2005;18.809
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2004;14.428
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2003;12.128
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2002;9.063
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2001;6.196
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;2000;4.228
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;1999;3.267
TOTAL EXTRANJEROS;21 Huelva;Ambos sexos;1996;2.946
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2023;29.791
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2021;28.824
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2020;27.825
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2019;25.076
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2018;23.190
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2017;22.533
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2016;23.216
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2015;23.870
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2014;25.437
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2013;27.495
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2012;27.840
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2011;27.807
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2010;27.810
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2009;27.329
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2008;24.363
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2007;19.420
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2006;17.100
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2005;15.132
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2004;11.905
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2003;9.678
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2002;6.658
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2001;3.637
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;2000;2.150
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;1999;1.459
TOTAL EXTRANJEROS;22 Huesca;Ambos sexos;1996;1.251
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2023;17.665
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2021;16.900
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2020;16.413
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2019;15.372
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2018;15.126
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2017;15.507
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2016;16.392
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2015;17.235
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2014;19.078
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2013;22.392
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2012;24.522
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2011;22.270
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2010;20.667
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2009;19.583
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2008;18.572
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2007;14.685
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2006;13.061
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2005;11.388
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2004;8.745
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2003;7.149
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2002;4.759
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2001;3.001
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;2000;2.091
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;1999;1.651
TOTAL EXTRANJEROS;23 Ja�n;Ambos sexos;1996;1.426
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2023;20.422
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2021;20.231
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2020;20.345
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2019;19.109
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2018;18.493
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2017;18.245
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2016;19.129
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2015;20.613
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2014;22.782
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2013;25.255
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2012;26.161
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2011;26.260
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2010;25.963
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2009;25.080
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2008;23.380
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2007;19.265
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2006;17.201
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2005;14.184
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2004;11.577
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2003;11.475
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2002;9.527
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2001;7.778
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;2000;7.045
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;1999;6.611
TOTAL EXTRANJEROS;24 Le�n;Ambos sexos;1996;6.123
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2023;83.295
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2021;81.392
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2020;79.833
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2019;75.642
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2018;72.654
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2017;71.479
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2016;73.295
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2015;74.435
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2014;77.045
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2013;81.145
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2012;82.053
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2011;81.762
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2010;80.490
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2009;77.784
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2008;69.366
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2007;57.560
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2006;52.633
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2005;45.144
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2004;31.370
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2003;24.107
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2002;17.111
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2001;11.033
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;2000;9.451
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;1999;7.366
TOTAL EXTRANJEROS;25 Lleida;Ambos sexos;1996;5.047
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2023;16.859
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2021;16.513
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2020;16.153
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2019;14.584
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2018;13.398
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2017;12.636
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2016;12.666
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2015;12.640
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2014;13.604
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2013;14.764
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2012;14.738
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2011;14.502
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2010;14.176
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2009;13.597
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2008;11.582
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2007;9.076
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2006;7.992
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2005;6.930
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2004;5.542
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2003;5.229
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2002;4.231
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2001;3.398
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;2000;3.083
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;1999;2.700
TOTAL EXTRANJEROS;27 Lugo;Ambos sexos;1996;2.396
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2023;949.969
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2021;955.122
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2020;955.714
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2019;881.819
