Provincias;Tasas;Periodo;Total
01 Araba/Álava;Tasa de paro de la población;2012T4;18.3
01 Araba/Álava;Tasa de paro de la población;2013T4;17.5
01 Araba/Álava;Tasa de paro de la población;2014T4;15.27
01 Araba/Álava;Tasa de paro de la población;2015T4;14.15
01 Araba/Álava;Tasa de paro de la población;2016T4;13.03
33 Asturias;Tasa de paro de la población;2004T4;8.63
33 Asturias;Tasa de paro de la población;2005T4;9.56
33 Asturias;Tasa de paro de la población;2006T4;9.18
33 Asturias;Tasa de paro de la población;2007T4;8.12
33 Asturias;Tasa de paro de la población;2008T4;9.95
33 Asturias;Tasa de paro de la población;2009T4;14.24
33 Asturias;Tasa de paro de la población;2010T4;16.67
33 Asturias;Tasa de paro de la población;2011T4;18.9
33 Asturias;Tasa de paro de la población;2012T4;23.76
33 Asturias;Tasa de paro de la población;2013T4;22.25
33 Asturias;Tasa de paro de la población;2014T4;20.39
33 Asturias;Tasa de paro de la población;2015T4;19.46
33 Asturias;Tasa de paro de la población;2016T4;18.53
05 Ávila;Tasa de paro de la población;2004T4;8.21
05 Ávila;Tasa de paro de la población;2005T4;8.83
05 Ávila;Tasa de paro de la población;2006T4;6.85
05 Ávila;Tasa de paro de la población;2007T4;5.58
05 Ávila;Tasa de paro de la población;2008T4;14.74
05 Ávila;Tasa de paro de la población;2009T4;20.5
05 Ávila;Tasa de paro de la población;2010T4;22.54
05 Ávila;Tasa de paro de la población;2011T4;22.17
05 Ávila;Tasa de paro de la población;2012T4;22.23
05 Ávila;Tasa de paro de la población;2013T4;26.25
05 Ávila;Tasa de paro de la población;2014T4;25.01
05 Ávila;Tasa de paro de la población;2015T4;24.4
05 Ávila;Tasa de paro de la población;2016T4;23.78
06 Badajoz;Tasa de paro de la población;2004T4;15.63
06 Badajoz;Tasa de paro de la población;2005T4;16.74
06 Badajoz;Tasa de paro de la población;2006T4;14.68
06 Badajoz;Tasa de paro de la población;2007T4;15.29
06 Badajoz;Tasa de paro de la población;2008T4;19.22
06 Badajoz;Tasa de paro de la población;2009T4;22.95
06 Badajoz;Tasa de paro de la población;2010T4;26.05
06 Badajoz;Tasa de paro de la población;2011T4;30.42
06 Badajoz;Tasa de paro de la población;2012T4;35.4
06 Badajoz;Tasa de paro de la población;2013T4;32.72
06 Badajoz;Tasa de paro de la población;2014T4;30.5
06 Badajoz;Tasa de paro de la población;2015T4;29.38
06 Badajoz;Tasa de paro de la población;2016T4;28.27
07 Balears, Illes;Tasa de paro de la población;2004T4;7.37
07 Balears, Illes;Tasa de paro de la población;2005T4;7.48
07 Balears, Illes;Tasa de paro de la población;2006T4;6.17
07 Balears, Illes;Tasa de paro de la población;2007T4;9.01
07 Balears, Illes;Tasa de paro de la población;2008T4;12.32
07 Balears, Illes;Tasa de paro de la población;2009T4;19.54
07 Balears, Illes;Tasa de paro de la población;2010T4;22.23
07 Balears, Illes;Tasa de paro de la población;2011T4;25.2
07 Balears, Illes;Tasa de paro de la población;2012T4;24.3
07 Balears, Illes;Tasa de paro de la población;2013T4;22.91
07 Balears, Illes;Tasa de paro de la población;2014T4;22.68
07 Balears, Illes;Tasa de paro de la población;2015T4;22.57
07 Balears, Illes;Tasa de paro de la población;2016T4;22.46
08 Barcelona;Tasa de paro de la población;2004T4;5.91
08 Barcelona;Tasa de paro de la población;2005T4;6.56
08 Barcelona;Tasa de paro de la población;2006T4;6.8
08 Barcelona;Tasa de paro de la población;2007T4;6.46
08 Barcelona;Tasa de paro de la población;2008T4;11.45
08 Barcelona;Tasa de paro de la población;2009T4;16.93
08 Barcelona;Tasa de paro de la población;2010T4;17.82
08 Barcelona;Tasa de paro de la población;2011T4;20.18
08 Barcelona;Tasa de paro de la población;2012T4;24.13
08 Barcelona;Tasa de paro de la población;2013T4;21.74
08 Barcelona;Tasa de paro de la población;2014T4;20.43
08 Barcelona;Tasa de paro de la población;2015T4;19.78
08 Barcelona;Tasa de paro de la población;2016T4;19.13
48 Bizkaia;Tasa de paro de la población;2004T4;6.35
48 Bizkaia;Tasa de paro de la población;2005T4;7.05
48 Bizkaia;Tasa de paro de la población;2006T4;7.46
48 Bizkaia;Tasa de paro de la población;2007T4;6.62
48 Bizkaia;Tasa de paro de la población;2008T4;9.57
48 Bizkaia;Tasa de paro de la población;2009T4;12.87
48 Bizkaia;Tasa de paro de la población;2010T4;12.81
48 Bizkaia;Tasa de paro de la población;2011T4;14.45
48 Bizkaia;Tasa de paro de la población;2012T4;17.15
48 Bizkaia;Tasa de paro de la población;2013T4;17.03
48 Bizkaia;Tasa de paro de la población;2014T4;15.62
48 Bizkaia;Tasa de paro de la población;2015T4;14.92
48 Bizkaia;Tasa de paro de la población;2016T4;14.22
09 Burgos;Tasa de paro de la población;2004T4;5.87
09 Burgos;Tasa de paro de la población;2005T4;6.35
09 Burgos;Tasa de paro de la población;2006T4;5.35
09 Burgos;Tasa de paro de la población;2007T4;7.18
09 Burgos;Tasa de paro de la población;2008T4;10.46
09 Burgos;Tasa de paro de la población;2009T4;14.46
09 Burgos;Tasa de paro de la población;2010T4;15.85
09 Burgos;Tasa de paro de la población;2011T4;14.85
09 Burgos;Tasa de paro de la población;2012T4;17.91
09 Burgos;Tasa de paro de la población;2013T4;18.73
09 Burgos;Tasa de paro de la población;2014T4;17.77
09 Burgos;Tasa de paro de la población;2015T4;17.29
09 Burgos;Tasa de paro de la población;2016T4;16.81
10 Cáceres;Tasa de paro de la población;2004T4;11.09
10 Cáceres;Tasa de paro de la población;2005T4;13.04
10 Cáceres;Tasa de paro de la población;2006T4;10.09
10 Cáceres;Tasa de paro de la población;2007T4;13.54
10 Cáceres;Tasa de paro de la población;2008T4;15.64
10 Cáceres;Tasa de paro de la población;2009T4;18.13
10 Cáceres;Tasa de paro de la población;2010T4;19.8
10 Cáceres;Tasa de paro de la población;2011T4;25.26
10 Cáceres;Tasa de paro de la población;2012T4;31.55
10 Cáceres;Tasa de paro de la población;2013T4;31.51
10 Cáceres;Tasa de paro de la población;2014T4;27.61
10 Cáceres;Tasa de paro de la población;2015T4;25.66
10 Cáceres;Tasa de paro de la población;2016T4;23.7
11 Cádiz;Tasa de paro de la población;2004T4;15.75
11 Cádiz;Tasa de paro de la población;2005T4;17.3
11 Cádiz;Tasa de paro de la población;2006T4;13.78
11 Cádiz;Tasa de paro de la población;2007T4;17.61
11 Cádiz;Tasa de paro de la población;2008T4;21.96
11 Cádiz;Tasa de paro de la población;2009T4;28.69
11 Cádiz;Tasa de paro de la población;2010T4;31.47
11 Cádiz;Tasa de paro de la población;2011T4;35.33
11 Cádiz;Tasa de paro de la población;2012T4;40.63
11 Cádiz;Tasa de paro de la población;2013T4;40.77
11 Cádiz;Tasa de paro de la población;2014T4;37.67
11 Cádiz;Tasa de paro de la población;2015T4;36.12
11 Cádiz;Tasa de paro de la población;2016T4;34.57
39 Cantabria;Tasa de paro de la población;2004T4;7.24
39 Cantabria;Tasa de paro de la población;2005T4;8.1
39 Cantabria;Tasa de paro de la población;2006T4;6.0
39 Cantabria;Tasa de paro de la población;2007T4;4.63
39 Cantabria;Tasa de paro de la población;2008T4;8.9
39 Cantabria;Tasa de paro de la población;2009T4;12.63
39 Cantabria;Tasa de paro de la población;2010T4;14.93
39 Cantabria;Tasa de paro de la población;2011T4;15.93
39 Cantabria;Tasa de paro de la población;2012T4;19.22
39 Cantabria;Tasa de paro de la población;2013T4;20.06
39 Cantabria;Tasa de paro de la población;2014T4;18.35
39 Cantabria;Tasa de paro de la población;2015T4;17.49
39 Cantabria;Tasa de paro de la población;2016T4;16.64
12 Castellón/Castelló;Tasa de paro de la población;2004T4;5.38
12 Castellón/Castelló;Tasa de paro de la población;2005T4;6.21
12 Castellón/Castelló;Tasa de paro de la población;2006T4;6.39
12 Castellón/Castelló;Tasa de paro de la población;2007T4;7.37
12 Castellón/Castelló;Tasa de paro de la población;2008T4;14.73
12 Castellón/Castelló;Tasa de paro de la población;2009T4;21.39
12 Castellón/Castelló;Tasa de paro de la población;2010T4;23.96
12 Castellón/Castelló;Tasa de paro de la población;2011T4;26.65
12 Castellón/Castelló;Tasa de paro de la población;2012T4;27.72
12 Castellón/Castelló;Tasa de paro de la población;2013T4;28.93
12 Castellón/Castelló;Tasa de paro de la población;2014T4;27.27
12 Castellón/Castelló;Tasa de paro de la población;2015T4;26.44
12 Castellón/Castelló;Tasa de paro de la población;2016T4;25.62
13 Ciudad Real;Tasa de paro de la población;2004T4;8.66
13 Ciudad Real;Tasa de paro de la población;2005T4;9.98
13 Ciudad Real;Tasa de paro de la población;2006T4;10.03
13 Ciudad Real;Tasa de paro de la población;2007T4;8.9
13 Ciudad Real;Tasa de paro de la población;2008T4;15.92
13 Ciudad Real;Tasa de paro de la población;2009T4;21.12
13 Ciudad Real;Tasa de paro de la población;2010T4;21.89
13 Ciudad Real;Tasa de paro de la población;2011T4;27.02
13 Ciudad Real;Tasa de paro de la población;2012T4;30.56
13 Ciudad Real;Tasa de paro de la población;2013T4;29.8
13 Ciudad Real;Tasa de paro de la población;2014T4;27.16
13 Ciudad Real;Tasa de paro de la población;2015T4;25.84
13 Ciudad Real;Tasa de paro de la población;2016T4;24.53
14 Córdoba;Tasa de paro de la población;2004T4;14.48
14 Córdoba;Tasa de paro de la población;2005T4;15.9
14 Córdoba;Tasa de paro de la población;2006T4;15.11
14 Córdoba;Tasa de paro de la población;2007T4;15.03
14 Córdoba;Tasa de paro de la población;2008T4;20.16
14 Córdoba;Tasa de paro de la población;2009T4;25.92
14 Córdoba;Tasa de paro de la población;2010T4;28.53
14 Córdoba;Tasa de paro de la población;2011T4;31.73
14 Córdoba;Tasa de paro de la población;2012T4;34.66
14 Córdoba;Tasa de paro de la población;2013T4;37.04
14 Córdoba;Tasa de paro de la población;2014T4;34.2
14 Córdoba;Tasa de paro de la población;2015T4;32.78
14 Córdoba;Tasa de paro de la población;2016T4;31.37
15 Coruña, A;Tasa de paro de la población;2004T4;8.26
15 Coruña, A;Tasa de paro de la población;2005T4;9.19
15 Coruña, A;Tasa de paro de la población;2006T4;8.22
15 Coruña, A;Tasa de paro de la población;2007T4;8.44
15 Coruña, A;Tasa de paro de la población;2008T4;9.45
15 Coruña, A;Tasa de paro de la población;2009T4;11.58
15 Coruña, A;Tasa de paro de la población;2010T4;14.5
15 Coruña, A;Tasa de paro de la población;2011T4;16.06
15 Coruña, A;Tasa de paro de la población;2012T4;20.08
15 Coruña, A;Tasa de paro de la población;2013T4;20.06
15 Coruña, A;Tasa de paro de la población;2014T4;18.21
15 Coruña, A;Tasa de paro de la población;2015T4;17.28
15 Coruña, A;Tasa de paro de la población;2016T4;16.35
16 Cuenca;Tasa de paro de la población;2004T4;6.36
16 Cuenca;Tasa de paro de la población;2005T4;7.55
16 Cuenca;Tasa de paro de la población;2006T4;6.55
16 Cuenca;Tasa de paro de la población;2007T4;3.94
16 Cuenca;Tasa de paro de la población;2008T4;9.82
16 Cuenca;Tasa de paro de la población;2009T4;17.2
16 Cuenca;Tasa de paro de la población;2010T4;19.34
16 Cuenca;Tasa de paro de la población;2011T4;19.42
16 Cuenca;Tasa de paro de la población;2012T4;24.7
16 Cuenca;Tasa de paro de la población;2013T4;26.46
16 Cuenca;Tasa de paro de la población;2014T4;24.09
16 Cuenca;Tasa de paro de la población;2015T4;22.9
16 Cuenca;Tasa de paro de la población;2016T4;21.71
20 Gipuzkoa;Tasa de paro de la población;2004T4;4.5
20 Gipuzkoa;Tasa de paro de la población;2005T4;5.33
20 Gipuzkoa;Tasa de paro de la población;2006T4;5.96
20 Gipuzkoa;Tasa de paro de la población;2007T4;5.04
20 Gipuzkoa;Tasa de paro de la población;2008T4;6.68
20 Gipuzkoa;Tasa de paro de la población;2009T4;8.95
20 Gipuzkoa;Tasa de paro de la población;2010T4;7.8
20 Gipuzkoa;Tasa de paro de la población;2011T4;10.44
20 Gipuzkoa;Tasa de paro de la población;2012T4;12.59
20 Gipuzkoa;Tasa de paro de la población;2013T4;12.75
20 Gipuzkoa;Tasa de paro de la población;2014T4;11.1
20 Gipuzkoa;Tasa de paro de la población;2015T4;10.28
20 Gipuzkoa;Tasa de paro de la población;2016T4;9.45
17 Girona;Tasa de paro de la población;2004T4;6.03
17 Girona;Tasa de paro de la población;2005T4;6.85
17 Girona;Tasa de paro de la población;2006T4;7.31
17 Girona;Tasa de paro de la población;2007T4;9.27
17 Girona;Tasa de paro de la población;2008T4;14.14
17 Girona;Tasa de paro de la población;2009T4;19.24
17 Girona;Tasa de paro de la población;2010T4;19.17
17 Girona;Tasa de paro de la población;2011T4;23.39
17 Girona;Tasa de paro de la población;2012T4;24.22
17 Girona;Tasa de paro de la población;2013T4;24.08
17 Girona;Tasa de paro de la población;2014T4;22.44
17 Girona;Tasa de paro de la población;2015T4;21.62
17 Girona;Tasa de paro de la población;2016T4;20.81
18 Granada;Tasa de paro de la población;2004T4;11.82
18 Granada;Tasa de paro de la población;2005T4;12.92
18 Granada;Tasa de paro de la población;2006T4;10.5
18 Granada;Tasa de paro de la población;2007T4;14.04
18 Granada;Tasa de paro de la población;2008T4;23.14
18 Granada;Tasa de paro de la población;2009T4;27.93
18 Granada;Tasa de paro de la población;2010T4;29.39
18 Granada;Tasa de paro de la población;2011T4;28.93
18 Granada;Tasa de paro de la población;2012T4;37.32
18 Granada;Tasa de paro de la población;2013T4;35.99
18 Granada;Tasa de paro de la población;2014T4;33.79
18 Granada;Tasa de paro de la población;2015T4;32.69
18 Granada;Tasa de paro de la población;2016T4;31.59
19 Guadalajara;Tasa de paro de la población;2004T4;6.54
19 Guadalajara;Tasa de paro de la población;2005T4;7.04
19 Guadalajara;Tasa de paro de la población;2006T4;6.96
19 Guadalajara;Tasa de paro de la población;2007T4;5.89
19 Guadalajara;Tasa de paro de la población;2008T4;11.2
19 Guadalajara;Tasa de paro de la población;2009T4;13.36
19 Guadalajara;Tasa de paro de la población;2010T4;18.93
19 Guadalajara;Tasa de paro de la población;2011T4;21.1
19 Guadalajara;Tasa de paro de la población;2012T4;25.75
19 Guadalajara;Tasa de paro de la población;2013T4;21.96
19 Guadalajara;Tasa de paro de la población;2014T4;20.95
19 Guadalajara;Tasa de paro de la población;2015T4;20.44
19 Guadalajara;Tasa de paro de la población;2016T4;19.94
21 Huelva;Tasa de paro de la población;2004T4;16.8
21 Huelva;Tasa de paro de la población;2005T4;16.92
21 Huelva;Tasa de paro de la población;2006T4;13.52
21 Huelva;Tasa de paro de la población;2007T4;16.71
21 Huelva;Tasa de paro de la población;2008T4;20.85
21 Huelva;Tasa de paro de la población;2009T4;23.91
21 Huelva;Tasa de paro de la población;2010T4;30.6
21 Huelva;Tasa de paro de la población;2011T4;34.23
21 Huelva;Tasa de paro de la población;2012T4;36.04
21 Huelva;Tasa de paro de la población;2013T4;31.3
21 Huelva;Tasa de paro de la población;2014T4;31.07
21 Huelva;Tasa de paro de la población;2015T4;30.95
21 Huelva;Tasa de paro de la población;2016T4;30.83
22 Huesca;Tasa de paro de la población;2004T4;5.38
22 Huesca;Tasa de paro de la población;2005T4;6.57
22 Huesca;Tasa de paro de la población;2006T4;5.17
22 Huesca;Tasa de paro de la población;2007T4;4.66
22 Huesca;Tasa de paro de la población;2008T4;6.42
22 Huesca;Tasa de paro de la población;2009T4;11.25
22 Huesca;Tasa de paro de la población;2010T4;12.64
22 Huesca;Tasa de paro de la población;2011T4;13.84
22 Huesca;Tasa de paro de la población;2012T4;14.3
22 Huesca;Tasa de paro de la población;2013T4;19.77
22 Huesca;Tasa de paro de la población;2014T4;17.39
22 Huesca;Tasa de paro de la población;2015T4;16.2
22 Huesca;Tasa de paro de la población;2016T4;15.02
23 Jaén;Tasa de paro de la población;2004T4;15.1
23 Jaén;Tasa de paro de la población;2005T4;16.88
23 Jaén;Tasa de paro de la población;2006T4;12.86
23 Jaén;Tasa de paro de la población;2007T4;14.77
23 Jaén;Tasa de paro de la población;2008T4;19.75
23 Jaén;Tasa de paro de la población;2009T4;24.78
23 Jaén;Tasa de paro de la población;2010T4;25.86
23 Jaén;Tasa de paro de la población;2011T4;28.24
23 Jaén;Tasa de paro de la población;2012T4;36.77
23 Jaén;Tasa de paro de la población;2013T4;36.53
23 Jaén;Tasa de paro de la población;2014T4;32.97
23 Jaén;Tasa de paro de la población;2015T4;31.2
23 Jaén;Tasa de paro de la población;2016T4;29.42
24 León;Tasa de paro de la población;2004T4;9.7
24 León;Tasa de paro de la población;2005T4;10.98
24 León;Tasa de paro de la población;2006T4;7.84
24 León;Tasa de paro de la población;2007T4;7.78
24 León;Tasa de paro de la población;2008T4;10.52
24 León;Tasa de paro de la población;2009T4;15.16
24 León;Tasa de paro de la población;2010T4;16.45
24 León;Tasa de paro de la población;2011T4;18.04
24 León;Tasa de paro de la población;2012T4;23.76
24 León;Tasa de paro de la población;2013T4;24.15
24 León;Tasa de paro de la población;2014T4;21.58
24 León;Tasa de paro de la población;2015T4;20.3
24 León;Tasa de paro de la población;2016T4;19.02
25 Lleida;Tasa de paro de la población;2004T4;5.81
25 Lleida;Tasa de paro de la población;2005T4;6.12
25 Lleida;Tasa de paro de la población;2006T4;4.33
25 Lleida;Tasa de paro de la población;2007T4;3.1
25 Lleida;Tasa de paro de la población;2008T4;8.73
25 Lleida;Tasa de paro de la población;2009T4;13.07
25 Lleida;Tasa de paro de la población;2010T4;14.35
25 Lleida;Tasa de paro de la población;2011T4;17.1
25 Lleida;Tasa de paro de la población;2012T4;17.81
25 Lleida;Tasa de paro de la población;2013T4;16.23
25 Lleida;Tasa de paro de la población;2014T4;15.6
25 Lleida;Tasa de paro de la población;2015T4;15.29
25 Lleida;Tasa de paro de la población;2016T4;14.98
27 Lugo;Tasa de paro de la población;2004T4;5.85
27 Lugo;Tasa de paro de la población;2005T4;7.32
27 Lugo;Tasa de paro de la población;2006T4;4.85
27 Lugo;Tasa de paro de la población;2007T4;5.97
27 Lugo;Tasa de paro de la población;2008T4;6.6
27 Lugo;Tasa de paro de la población;2009T4;10.29
27 Lugo;Tasa de paro de la población;2010T4;10.37
27 Lugo;Tasa de paro de la población;2011T4;12.03
27 Lugo;Tasa de paro de la población;2012T4;17.0
27 Lugo;Tasa de paro de la población;2013T4;19.22
27 Lugo;Tasa de paro de la población;2014T4;16.27
27 Lugo;Tasa de paro de la población;2015T4;14.79
27 Lugo;Tasa de paro de la población;2016T4;13.32
28 Madrid;Tasa de paro de la población;2004T4;5.04
28 Madrid;Tasa de paro de la población;2005T4;5.92
28 Madrid;Tasa de paro de la población;2006T4;6.49
28 Madrid;Tasa de paro de la población;2007T4;6.38
28 Madrid;Tasa de paro de la población;2008T4;10.15
28 Madrid;Tasa de paro de la población;2009T4;14.68
28 Madrid;Tasa de paro de la población;2010T4;15.75
28 Madrid;Tasa de paro de la población;2011T4;18.51
28 Madrid;Tasa de paro de la población;2012T4;19.88
28 Madrid;Tasa de paro de la población;2013T4;21.03
28 Madrid;Tasa de paro de la población;2014T4;19.27
28 Madrid;Tasa de paro de la población;2015T4;18.39
28 Madrid;Tasa de paro de la población;2016T4;17.51
29 Málaga;Tasa de paro de la población;2004T4;10.22
29 Málaga;Tasa de paro de la población;2005T4;11.15
29 Málaga;Tasa de paro de la población;2006T4;10.34
29 Málaga;Tasa de paro de la población;2007T4;12.28
29 Málaga;Tasa de paro de la población;2008T4;23.6
29 Málaga;Tasa de paro de la población;2009T4;27.35
29 Málaga;Tasa de paro de la población;2010T4;30.65
29 Málaga;Tasa de paro de la población;2011T4;31.63
29 Málaga;Tasa de paro de la población;2012T4;35.29
29 Málaga;Tasa de paro de la población;2013T4;36.2
29 Málaga;Tasa de paro de la población;2014T4;34.35
29 Málaga;Tasa de paro de la población;2015T4;33.42
29 Málaga;Tasa de paro de la población;2016T4;32.5
30 Murcia;Tasa de paro de la población;2004T4;6.75
30 Murcia;Tasa de paro de la población;2005T4;7.42
30 Murcia;Tasa de paro de la población;2006T4;7.91
30 Murcia;Tasa de paro de la población;2007T4;8.27
30 Murcia;Tasa de paro de la población;2008T4;15.53
30 Murcia;Tasa de paro de la población;2009T4;22.47
30 Murcia;Tasa de paro de la población;2010T4;24.98
30 Murcia;Tasa de paro de la población;2011T4;26.77
30 Murcia;Tasa de paro de la población;2012T4;29.59
30 Murcia;Tasa de paro de la población;2013T4;28.98
30 Murcia;Tasa de paro de la población;2014T4;27.65
30 Murcia;Tasa de paro de la población;2015T4;26.98
30 Murcia;Tasa de paro de la población;2016T4;26.31
31 Navarra;Tasa de paro de la población;2004T4;5.09
31 Navarra;Tasa de paro de la población;2005T4;5.95
31 Navarra;Tasa de paro de la población;2006T4;4.58
31 Navarra;Tasa de paro de la población;2007T4;4.27
31 Navarra;Tasa de paro de la población;2008T4;8.12
31 Navarra;Tasa de paro de la población;2009T4;10.53
31 Navarra;Tasa de paro de la población;2010T4;11.64
31 Navarra;Tasa de paro de la población;2011T4;13.82
31 Navarra;Tasa de paro de la población;2012T4;17.15
31 Navarra;Tasa de paro de la población;2013T4;16.83
31 Navarra;Tasa de paro de la población;2014T4;15.1
31 Navarra;Tasa de paro de la población;2015T4;14.24
31 Navarra;Tasa de paro de la población;2016T4;13.37
32 Ourense;Tasa de paro de la población;2004T4;8.25
32 Ourense;Tasa de paro de la población;2005T4;9.3
32 Ourense;Tasa de paro de la población;2006T4;8.32
32 Ourense;Tasa de paro de la población;2007T4;5.2
32 Ourense;Tasa de paro de la población;2008T4;6.62
32 Ourense;Tasa de paro de la población;2009T4;12.56
32 Ourense;Tasa de paro de la población;2010T4;17.0
32 Ourense;Tasa de paro de la población;2011T4;19.08
32 Ourense;Tasa de paro de la población;2012T4;22.7
32 Ourense;Tasa de paro de la población;2013T4;23.31
32 Ourense;Tasa de paro de la población;2014T4;21.21
32 Ourense;Tasa de paro de la población;2015T4;20.16
32 Ourense;Tasa de paro de la población;2016T4;19.1
34 Palencia;Tasa de paro de la población;2004T4;4.54
34 Palencia;Tasa de paro de la población;2005T4;5.3
34 Palencia;Tasa de paro de la población;2006T4;5.86
34 Palencia;Tasa de paro de la población;2007T4;5.48
34 Palencia;Tasa de paro de la población;2008T4;11.13
34 Palencia;Tasa de paro de la población;2009T4;12.37
34 Palencia;Tasa de paro de la población;2010T4;16.52
34 Palencia;Tasa de paro de la población;2011T4;17.75
34 Palencia;Tasa de paro de la población;2012T4;18.66
34 Palencia;Tasa de paro de la población;2013T4;21.1
34 Palencia;Tasa de paro de la población;2014T4;19.57
34 Palencia;Tasa de paro de la población;2015T4;18.81
34 Palencia;Tasa de paro de la población;2016T4;18.05
35 Palmas, Las;Tasa de paro de la población;2004T4;11.56
35 Palmas, Las;Tasa de paro de la población;2005T4;11.83
35 Palmas, Las;Tasa de paro de la población;2006T4;12.05
35 Palmas, Las;Tasa de paro de la población;2007T4;12.26
35 Palmas, Las;Tasa de paro de la población;2008T4;22.51
35 Palmas, Las;Tasa de paro de la población;2009T4;29.3
35 Palmas, Las;Tasa de paro de la población;2010T4;31.68
35 Palmas, Las;Tasa de paro de la población;2011T4;32.36
35 Palmas, Las;Tasa de paro de la población;2012T4;33.89
35 Palmas, Las;Tasa de paro de la población;2013T4;33.32
35 Palmas, Las;Tasa de paro de la población;2014T4;32.77
35 Palmas, Las;Tasa de paro de la población;2015T4;32.5
35 Palmas, Las;Tasa de paro de la población;2016T4;32.23
36 Pontevedra;Tasa de paro de la población;2004T4;8.6
36 Pontevedra;Tasa de paro de la población;2005T4;9.62
36 Pontevedra;Tasa de paro de la población;2006T4;8.82
36 Pontevedra;Tasa de paro de la población;2007T4;7.54
36 Pontevedra;Tasa de paro de la población;2008T4;12.04
36 Pontevedra;Tasa de paro de la población;2009T4;15.41
36 Pontevedra;Tasa de paro de la población;2010T4;18.66
36 Pontevedra;Tasa de paro de la población;2011T4;22.98
36 Pontevedra;Tasa de paro de la población;2012T4;23.84
36 Pontevedra;Tasa de paro de la población;2013T4;24.77
36 Pontevedra;Tasa de paro de la población;2014T4;22.73
36 Pontevedra;Tasa de paro de la población;2015T4;21.72
36 Pontevedra;Tasa de paro de la población;2016T4;20.7
26 Rioja, La;Tasa de paro de la población;2004T4;5.8
26 Rioja, La;Tasa de paro de la población;2005T4;6.53
26 Rioja, La;Tasa de paro de la población;2006T4;7.04
26 Rioja, La;Tasa de paro de la población;2007T4;5.63
26 Rioja, La;Tasa de paro de la población;2008T4;9.75
26 Rioja, La;Tasa de paro de la población;2009T4;13.67
26 Rioja, La;Tasa de paro de la población;2010T4;15.68
26 Rioja, La;Tasa de paro de la población;2011T4;18.7
26 Rioja, La;Tasa de paro de la población;2012T4;18.73
26 Rioja, La;Tasa de paro de la población;2013T4;20.05
26 Rioja, La;Tasa de paro de la población;2014T4;18.59
26 Rioja, La;Tasa de paro de la población;2015T4;17.87
26 Rioja, La;Tasa de paro de la población;2016T4;17.14
37 Salamanca;Tasa de paro de la población;2004T4;10.44
37 Salamanca;Tasa de paro de la población;2005T4;11.68
37 Salamanca;Tasa de paro de la población;2006T4;10.25
37 Salamanca;Tasa de paro de la población;2007T4;7.68
37 Salamanca;Tasa de paro de la población;2008T4;16.49
