Sexo;Provincias;Tasas;Periodo;Total
Ambos sexos;10 Cáceres;Tasa de paro de la población;2023T4;13,96
Ambos sexos;10 Cáceres;Tasa de paro de la población;2022T4;15,41
Ambos sexos;10 Cáceres;Tasa de paro de la población;2021T4;17,64
Ambos sexos;11 Cádiz;Tasa de paro de la población;2023T4;20,82
Ambos sexos;11 Cádiz;Tasa de paro de la población;2022T4;25,02
Ambos sexos;11 Cádiz;Tasa de paro de la población;2021T4;25,94
Ambos sexos;39 Cantabria;Tasa de paro de la población;2023T4;7,48
Ambos sexos;39 Cantabria;Tasa de paro de la población;2022T4;10,34
Ambos sexos;39 Cantabria;Tasa de paro de la población;2021T4;11,52
Ambos sexos;12 Castellón/Castelló;Tasa de paro de la población;2023T4;13,97
Ambos sexos;12 Castellón/Castelló;Tasa de paro de la población;2022T4;13,58
Ambos sexos;12 Castellón/Castelló;Tasa de paro de la población;2021T4;11,19
Ambos sexos;13 Ciudad Real;Tasa de paro de la población;2023T4;16,27
Ambos sexos;13 Ciudad Real;Tasa de paro de la población;2022T4;20,79
Ambos sexos;13 Ciudad Real;Tasa de paro de la población;2021T4;16,11
Ambos sexos;14 Córdoba;Tasa de paro de la población;2023T4;15,43
Ambos sexos;14 Córdoba;Tasa de paro de la población;2022T4;17,66
Ambos sexos;14 Córdoba;Tasa de paro de la población;2021T4;17,35
Ambos sexos;15 Coruña, A;Tasa de paro de la población;2023T4;8,44
Ambos sexos;15 Coruña, A;Tasa de paro de la población;2022T4;10,11
Ambos sexos;15 Coruña, A;Tasa de paro de la población;2021T4;10,39
Ambos sexos;16 Cuenca;Tasa de paro de la población;2023T4;11,30
Ambos sexos;16 Cuenca;Tasa de paro de la población;2022T4;8,02
Ambos sexos;16 Cuenca;Tasa de paro de la población;2021T4;9,43
Ambos sexos;20 Gipuzkoa;Tasa de paro de la población;2023T4;6,35
Ambos sexos;20 Gipuzkoa;Tasa de paro de la población;2022T4;8,57
Ambos sexos;20 Gipuzkoa;Tasa de paro de la población;2021T4;6,55
Ambos sexos;17 Girona;Tasa de paro de la población;2023T4;9,28
Ambos sexos;17 Girona;Tasa de paro de la población;2022T4;8,54
Ambos sexos;17 Girona;Tasa de paro de la población;2021T4;11,22
Ambos sexos;18 Granada;Tasa de paro de la población;2023T4;21,34
Ambos sexos;18 Granada;Tasa de paro de la población;2022T4;19,65
Ambos sexos;18 Granada;Tasa de paro de la población;2021T4;20,35
Ambos sexos;19 Guadalajara;Tasa de paro de la población;2023T4;9,31
Ambos sexos;19 Guadalajara;Tasa de paro de la población;2022T4;10,49
Ambos sexos;19 Guadalajara;Tasa de paro de la población;2021T4;10,83
Ambos sexos;21 Huelva;Tasa de paro de la población;2023T4;20,57
Ambos sexos;21 Huelva;Tasa de paro de la población;2022T4;21,77
Ambos sexos;21 Huelva;Tasa de paro de la población;2021T4;19,66
Ambos sexos;22 Huesca;Tasa de paro de la población;2023T4;10,85
Ambos sexos;22 Huesca;Tasa de paro de la población;2022T4;8,91
Ambos sexos;22 Huesca;Tasa de paro de la población;2021T4;7,07
Ambos sexos;23 Jaén;Tasa de paro de la población;2023T4;18,95
Ambos sexos;23 Jaén;Tasa de paro de la población;2022T4;17,66
Ambos sexos;23 Jaén;Tasa de paro de la población;2021T4;20,37
Ambos sexos;24 León;Tasa de paro de la población;2023T4;10,34
Ambos sexos;24 León;Tasa de paro de la población;2022T4;7,78
Ambos sexos;24 León;Tasa de paro de la población;2021T4;11,80
Ambos sexos;25 Lleida;Tasa de paro de la población;2023T4;5,42
Ambos sexos;25 Lleida;Tasa de paro de la población;2022T4;9,47
Ambos sexos;25 Lleida;Tasa de paro de la población;2021T4;11,21
Ambos sexos;27 Lugo;Tasa de paro de la población;2023T4;7,35
Ambos sexos;27 Lugo;Tasa de paro de la población;2022T4;8,41
Ambos sexos;27 Lugo;Tasa de paro de la población;2021T4;8,93
Ambos sexos;28 Madrid;Tasa de paro de la población;2023T4;9,72
Ambos sexos;28 Madrid;Tasa de paro de la población;2022T4;11,51
Ambos sexos;28 Madrid;Tasa de paro de la población;2021T4;10,12
Ambos sexos;29 Málaga;Tasa de paro de la población;2023T4;16,49
Ambos sexos;29 Málaga;Tasa de paro de la población;2022T4;19,37
Ambos sexos;29 Málaga;Tasa de paro de la población;2021T4;19,79
Ambos sexos;30 Murcia;Tasa de paro de la población;2023T4;11,32
Ambos sexos;30 Murcia;Tasa de paro de la población;2022T4;12,89
Ambos sexos;30 Murcia;Tasa de paro de la población;2021T4;12,92
Ambos sexos;31 Navarra;Tasa de paro de la población;2023T4;9,32
Ambos sexos;31 Navarra;Tasa de paro de la población;2022T4;10,09
Ambos sexos;31 Navarra;Tasa de paro de la población;2021T4;9,93
Ambos sexos;32 Ourense;Tasa de paro de la población;2023T4;9,77
Ambos sexos;32 Ourense;Tasa de paro de la población;2022T4;11,64
Ambos sexos;32 Ourense;Tasa de paro de la población;2021T4;10,21
Ambos sexos;34 Palencia;Tasa de paro de la población;2023T4;6,92
Ambos sexos;34 Palencia;Tasa de paro de la población;2022T4;8,50
Ambos sexos;34 Palencia;Tasa de paro de la población;2021T4;9,47
Ambos sexos;35 Palmas, Las;Tasa de paro de la población;2023T4;15,48
Ambos sexos;35 Palmas, Las;Tasa de paro de la población;2022T4;13,28
Ambos sexos;35 Palmas, Las;Tasa de paro de la población;2021T4;18,18
Ambos sexos;36 Pontevedra;Tasa de paro de la población;2023T4;10,41
Ambos sexos;36 Pontevedra;Tasa de paro de la población;2022T4;11,70
Ambos sexos;36 Pontevedra;Tasa de paro de la población;2021T4;12,69
Ambos sexos;26 Rioja, La;Tasa de paro de la población;2023T4;9,52
Ambos sexos;26 Rioja, La;Tasa de paro de la población;2022T4;8,60
Ambos sexos;26 Rioja, La;Tasa de paro de la población;2021T4;10,45
Ambos sexos;37 Salamanca;Tasa de paro de la población;2023T4;10,56
Ambos sexos;37 Salamanca;Tasa de paro de la población;2022T4;10,42
Ambos sexos;37 Salamanca;Tasa de paro de la población;2021T4;11,45
Ambos sexos;38 Santa Cruz de Tenerife;Tasa de paro de la población;2023T4;16,94
Ambos sexos;38 Santa Cruz de Tenerife;Tasa de paro de la población;2022T4;16,01
Ambos sexos;38 Santa Cruz de Tenerife;Tasa de paro de la población;2021T4;19,76
Ambos sexos;40 Segovia;Tasa de paro de la población;2023T4;8,01
Ambos sexos;40 Segovia;Tasa de paro de la población;2022T4;7,23
Ambos sexos;40 Segovia;Tasa de paro de la población;2021T4;10,10
Ambos sexos;41 Sevilla;Tasa de paro de la población;2023T4;15,69
Ambos sexos;41 Sevilla;Tasa de paro de la población;2022T4;16,06
Ambos sexos;41 Sevilla;Tasa de paro de la población;2021T4;19,92
Ambos sexos;42 Soria;Tasa de paro de la población;2023T4;5,36
Ambos sexos;42 Soria;Tasa de paro de la población;2022T4;7,87
Ambos sexos;42 Soria;Tasa de paro de la población;2021T4;6,99
Ambos sexos;43 Tarragona;Tasa de paro de la población;2023T4;14,45
Ambos sexos;43 Tarragona;Tasa de paro de la población;2022T4;9,81
Ambos sexos;43 Tarragona;Tasa de paro de la población;2021T4;12,62
Ambos sexos;44 Teruel;Tasa de paro de la población;2023T4;9,46
Ambos sexos;44 Teruel;Tasa de paro de la población;2022T4;9,73
Ambos sexos;44 Teruel;Tasa de paro de la población;2021T4;7,33
Ambos sexos;45 Toledo;Tasa de paro de la población;2023T4;11,84
Ambos sexos;45 Toledo;Tasa de paro de la población;2022T4;15,28
Ambos sexos;45 Toledo;Tasa de paro de la población;2021T4;14,08
Ambos sexos;46 Valencia/València;Tasa de paro de la población;2023T4;11,93
Ambos sexos;46 Valencia/València;Tasa de paro de la población;2022T4;12,26
Ambos sexos;46 Valencia/València;Tasa de paro de la población;2021T4;12,05
Ambos sexos;47 Valladolid;Tasa de paro de la población;2023T4;8,62
Ambos sexos;47 Valladolid;Tasa de paro de la población;2022T4;7,88
Ambos sexos;47 Valladolid;Tasa de paro de la población;2021T4;8,47
Ambos sexos;49 Zamora;Tasa de paro de la población;2023T4;15,41
Ambos sexos;49 Zamora;Tasa de paro de la población;2022T4;14,09
Ambos sexos;49 Zamora;Tasa de paro de la población;2021T4;8,87
Ambos sexos;50 Zaragoza;Tasa de paro de la población;2023T4;6,96
Ambos sexos;50 Zaragoza;Tasa de paro de la población;2022T4;9,48
Ambos sexos;50 Zaragoza;Tasa de paro de la población;2021T4;9,69
Ambos sexos;51 Ceuta;Tasa de paro de la población;2023T4;28,35
Ambos sexos;51 Ceuta;Tasa de paro de la población;2022T4;30,55
Ambos sexos;51 Ceuta;Tasa de paro de la población;2021T4;26,86
Ambos sexos;52 Melilla;Tasa de paro de la población;2023T4;27,42
Ambos sexos;52 Melilla;Tasa de paro de la población;2022T4;21,20
Ambos sexos;52 Melilla;Tasa de paro de la población;2021T4;20,24
