Lugar de condena;Nacionalidad;Periodo;Total
51 Ceuta;Total;2015;1805
51 Ceuta;Total;2016;1793
51 Ceuta;Total;2017;2037
51 Ceuta;Total;2018;2130
51 Ceuta;Total;2019;2180
51 Ceuta;Total;2020;1400
51 Ceuta;Total;2021;1192
51 Ceuta;Total;2022;1154
51 Ceuta;Total;2023;1282
52 Melilla;Total;2008;1397
52 Melilla;Total;2009;1389
52 Melilla;Total;2010;1381
52 Melilla;Total;2011;1373
52 Melilla;Total;2012;1365
52 Melilla;Total;2013;1357
52 Melilla;Total;2014;1385
52 Melilla;Total;2015;1489
52 Melilla;Total;2016;1400
52 Melilla;Total;2017;1767
52 Melilla;Total;2018;1870
52 Melilla;Total;2019;1855
52 Melilla;Total;2020;1184
52 Melilla;Total;2021;1127
52 Melilla;Total;2022;1143
52 Melilla;Total;2023;1154
