Provincias;Edad (grupos quinquenales);Espanoles/Extranjeros;Sexo;Ano;Total
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2011;200.918
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2010;200.286
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2009;199.729
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2008;197.673
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2007;195.338
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2006;193.310
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2005;192.016
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2004;189.705
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2003;188.417
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2002;186.329
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2001;184.457
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2000;182.952
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;1999;181.811
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;1998;180.539
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.901.594
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.881.762
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.879.888
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.858.683
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2018;1.838.819
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2017;1.825.332
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2016;1.836.459
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2015;1.855.047
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2014;1.868.438
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2013;1.945.642
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2012;1.943.910
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2011;1.934.127
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2010;1.926.285
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2009;1.917.012
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2008;1.891.477
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2007;1.825.264
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2006;1.783.555
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2005;1.732.389
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2004;1.657.040
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2003;1.632.349
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2002;1.557.968
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2001;1.490.265
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2000;1.445.144
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;1999;1.410.946
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;1998;1.388.933
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2022;960.233
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2021;949.744
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2020;948.032
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2019;937.768
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2018;927.722
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2017;920.621
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2016;925.286
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2015;934.127
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2014;939.919
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2013;976.715
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2012;974.673
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2011;969.567
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2010;964.552
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2009;958.812
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2008;943.954
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2007;911.809
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2006;890.693
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2005;866.389
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2004;831.472
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2003;820.677
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2002;785.355
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2001;755.086
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2000;734.248
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;1999;717.013
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;1998;706.553
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2022;740.534
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2021;731.792
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2020;727.945
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2019;716.820
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2018;709.340
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2017;706.672
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2016;704.297
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2015;701.211
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2014;701.688
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2013;699.329
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2012;704.219
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2011;702.819
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2010;695.560
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2009;684.426
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2008;667.635
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2007;646.633
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2006;635.850
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2005;612.315
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2004;580.077
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2003;565.310
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2002;546.498
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2001;533.168
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;2000;518.229
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;1999;512.843
04 Almer�a;TOTAL EDADES;TOTAL;Ambos sexos;1998;505.448
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2022;362.479
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2021;358.656
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2020;356.387
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2019;351.119
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2018;348.021
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2017;346.996
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2016;346.074
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2015;345.153
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2014;345.025
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2013;343.671
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2012;344.672
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2011;341.630
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2010;337.448
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2009;332.031
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2008;323.919
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2007;313.406
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2006;306.218
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2005;297.259
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2004;285.891
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2003;278.018
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2002;270.118
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2001;263.623
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;2000;258.845
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;1999;256.463
04 Almer�a;TOTAL EDADES;TOTAL;Mujeres;1998;253.271
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2022;334.412
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2021;333.626
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2020;333.940
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2019;331.549
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2018;328.868
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2017;326.574
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2016;324.126
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2015;323.648
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2014;321.932
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2013;321.417
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2012;322.557
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2011;319.227
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2010;317.352
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2009;313.819
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2008;309.635
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2007;305.459
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2006;301.926
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2005;299.957
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2004;295.905
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2003;294.360
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2002;291.860
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2001;288.793
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;2000;286.497
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;1999;285.748
01 Araba/�lava;TOTAL EDADES;TOTAL;Ambos sexos;1998;284.595
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2022;169.827
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2021;169.374
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2020;169.416
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2019;168.050
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2018;166.693
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2017;165.220
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2016;163.886
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2015;163.354
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2014;162.349
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2013;161.795
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2012;161.908
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2011;160.186
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2010;159.030
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2009;157.401
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2008;155.259
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2007;153.419
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2006;151.629
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2005;150.334
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2004;148.430
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2003;147.709
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2002;146.609
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2001;145.214
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;2000;144.228
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;1999;143.848
01 Araba/�lava;TOTAL EDADES;TOTAL;Mujeres;1998;143.245
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.004.686
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.011.792
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.018.784
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.022.800
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2018;1.028.244
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2017;1.034.960
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2016;1.042.608
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2015;1.051.229
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2014;1.061.756
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2013;1.068.165
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2012;1.077.360
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2011;1.081.487
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2010;1.084.341
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2009;1.085.289
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2008;1.080.138
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2007;1.074.862
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2006;1.076.896
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2005;1.076.635
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2004;1.073.761
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2003;1.075.381
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2002;1.073.971
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2001;1.075.329
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2000;1.076.567
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;1999;1.084.314
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;1998;1.081.834
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2022;525.552
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2021;529.127
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2020;532.718
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2019;534.663
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2018;537.506
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2017;541.049
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2016;544.756
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2015;549.054
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2014;553.829
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2013;556.819
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2012;560.940
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2011;562.916
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2010;563.939
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2009;564.373
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2008;561.847
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2007;559.570
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2006;560.549
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2005;560.306
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2004;558.714
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2003;559.436
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2002;558.805
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2001;559.432
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2000;560.169
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;1999;564.302
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;1998;562.304
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2022;158.140
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2021;158.421
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2020;157.664
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2019;157.640
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2018;158.498
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2017;160.700
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2016;162.514
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2015;164.925
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2014;167.015
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2013;168.825
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2012;171.265
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2011;172.704
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2010;171.896
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2009;171.680
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2008;171.815
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2007;168.638
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2006;167.818
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2005;167.032
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2004;166.108
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2003;165.480
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2002;165.138
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2001;163.885
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;2000;164.991
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;1999;166.259
05 �vila;TOTAL EDADES;TOTAL;Ambos sexos;1998;167.132
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2022;78.698
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2021;78.859
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2020;78.555
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2019;78.569
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2018;78.960
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2017;80.026
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2016;80.884
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2015;82.045
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2014;83.017
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2013;83.800
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2012;84.831
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2011;85.619
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2010;85.168
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2009;84.960
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2008;84.979
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2007;83.741
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2006;83.528
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2005;83.091
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2004;82.715
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2003;82.444
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2002;82.187
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2001;81.588
05 �vila;TOTAL EDADES;TOTAL;Mujeres;2000;82.201
05 �vila;TOTAL EDADES;TOTAL;Mujeres;1999;82.818
05 �vila;TOTAL EDADES;TOTAL;Mujeres;1998;83.119
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2022;666.971
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2021;669.943
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2020;672.137
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2019;673.559
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2018;676.376
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2017;679.884
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2016;684.113
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2015;686.730
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2014;690.929
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2013;693.729
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2012;694.533
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2011;693.921
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2010;692.137
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2009;688.777
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2008;685.246
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2007;678.459
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2006;673.474
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2005;671.299
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2004;663.896
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2003;663.142
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2002;662.808
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2001;664.251
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2000;661.874
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;1999;664.625
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;1998;663.803
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2022;337.464
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2021;338.918
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2020;339.933
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2019;340.447
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2018;341.740
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2017;343.318
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2016;345.159
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2015;346.354
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2014;348.275
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2013;349.433
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2012;349.843
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2011;349.630
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2010;348.774
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2009;346.865
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2008;345.003
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2007;342.248
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2006;339.715
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2005;338.818
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2004;335.377
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2003;335.340
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2002;335.117
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2001;335.824
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2000;334.676
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;1999;336.084
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;1998;335.643
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.176.659
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.173.008
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.171.543
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.149.460
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2018;1.128.908
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2017;1.115.999
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2016;1.107.220
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2015;1.104.479
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2014;1.103.442
